ema_fast,ema_slow,ema_trend,ema_htf,ema_d1,ema_w1,ema_14,ema_21,ema_55,ema_20,ema_50,volume_ma,sma_20,sma_50,rsi,macd,macd_signal,macd_histogram,adx,supertrend,supertrend_trend,bb_upper,bb_middle,bb_lower,bb_width,bb_percent,ichimoku_tenkan,ichimoku_kijun,ichimoku_senkou_a,ichimoku_senkou_b,ichimoku_chikou,ichimoku_cloud_top,ichimoku_cloud_bottom,vwap,atr,pivot,r1,s1,r2,s2,stoch_k,stoch_d,williams_r,cci,mfi,obv,rsi_divergence_bullish,rsi_divergence_bearish,macd_divergence_bullish,macd_divergence_bearish,obv_divergence_bullish,obv_divergence_bearish,elder_ema,elder_impulse,elder_screen1_up,elder_screen1_down,kabbaj_squeeze,symbol,timeframe,direction,score,market_regime,pnl_pct,winner,result
115397.96635835269,115319.21319953122,115037.45887888847,115282.2111812031,115282.2111812031,115324.5271868672,115362.0402326259,115319.21319953122,115287.76450246276,115324.5271868672,115282.2111812031,95.42978000000001,115295.96199999998,115116.2462,60.36806167634819,78.73036349524045,67.84864304904531,10.881720446195146,50.30334335578948,115217.588,1.0,115579.57839174096,115295.96199999998,115012.34560825901,0.004919797481562662,0.8138535098539259,115390.045,115292.985,114977.95000000001,115244.0,114819.28,114977.95000000001,115244.0,115384.1747602389,121.0214285714267,115676.01666666666,116792.03333333333,114322.03333333333,118146.01666666666,113206.01666666666,71.63029194259263,69.47100132701064,-28.369708057407365,143.5386384699724,53.87133438071636,-7447.763809999992,0,0,0,0,0,0,115369.02336895542,1,1,0,1,BTC/USDT,15m,LONG,8.0,TRENDING,-1.3903331070578027,0,SL
115213.74658136402,115264.86496735999,115048.55800515342,115268.087716574,115268.087716574,115264.9673425804,115255.11471658676,115264.86496735999,115273.98488269841,115264.9673425804,115268.087716574,113.22777599999999,115325.85,115161.5566,34.441233140654745,-17.68059085951245,41.00883112707568,-58.68942198658813,39.168812024031915,115661.072,-1.0,115669.84213619678,115325.85,114981.85786380323,0.005965568624844677,-0.03175634193966254,115303.1,115303.1,115065.74,115210.9,114841.17,115065.74,115210.9,115337.18401287249,186.71285714285685,115676.01666666666,116792.03333333333,114322.03333333333,118146.01666666666,113206.01666666666,2.8178117608216895,7.34030101839132,-97.18218823917832,-189.32915560347317,30.07258407695835,-7618.953319999991,0,0,0,0,0,0,115250.40378865939,-1,0,1,1,BTC/USDT,15m,SHORT,7.0,TRENDING,1.7137898419903288,1,TP
113453.1352305659,113975.17897114629,114805.4641756084,114386.46737408785,114386.46737408785,113949.44899563082,113745.99608619697,113975.17897114629,114429.33238740636,113949.44899563082,114386.46737408785,505.9800215,114157.21,114485.69600000001,35.36800793174733,-434.3776046576386,-209.1845869035168,-225.1930177541218,35.453308255791946,114491.432,-1.0,115738.71294862295,114157.21,112575.70705137706,0.027707456211008428,0.08839153568014961,112798.55,112798.55,114776.0675,115110.84,113412.36,114776.0675,115110.84,113232.76818627745,686.4471428571456,115676.01666666666,116792.03333333333,114322.03333333333,118146.01666666666,113206.01666666666,51.33912345708127,43.80244349515778,-48.66087654291873,-156.36664670501642,23.559793024380127,-15033.51321999999,0,0,0,0,0,0,113699.96828023897,0,0,1,0,BTC/USDT,15m,SHORT,7.0,TRENDING,-0.07063406892922988,0,SL
110238.06574530061,110680.3332781133,112858.24817947354,111309.8287541795,111309.8287541795,110646.10041305005,110416.81035909391,110680.3332781133,111386.68437844548,110646.10041305005,111309.8287541795,399.98310000000004,110793.2095,111435.99559999998,32.60618982832973,-494.7308417132881,-508.5336394009614,13.80279768767332,74.979711646487,111604.31700000001,-1.0,112989.09146620275,110793.2095,108597.32753379724,0.039639287933124684,0.35427734508273884,109936.585,111047.66,112067.95,112034.525,110162.95,112067.95,112034.525,110183.90682515045,621.9114285714303,113280.09000000001,115880.18000000002,110893.50000000003,118266.77,108293.41000000002,32.47185450032467,37.220006314066275,-67.52814549967533,-38.544220176939795,24.545026977967126,-21900.190359999982,0,0,0,0,0,0,110376.83631775648,0,0,1,0,BTC/USDT,15m,SHORT,7.0,TRENDING,-1.0707649563799735,0,SL
111411.8974955196,111031.3174850748,111294.39139899857,110624.85337733511,110624.85337733511,111057.02327200808,111235.2208650287,111031.3174850748,110598.5877425307,111057.02327200808,110624.85337733511,181.7793105,110971.85,110391.7656,66.97361202250411,385.213311634463,328.3750854454472,56.83822618901581,71.24830283910646,110999.516,1.0,112109.179805244,110971.85,109834.52019475601,0.02049762719543728,0.7947430010665012,111529.68,110697.845,110042.055,110106.265,111570.81,110042.055,110106.265,111198.8558155216,285.39642857142775,111017.78666666667,112761.47333333333,108368.29333333333,115410.96666666666,106624.60666666667,78.9906655956562,92.836469607893,-21.0093344043438,120.80595362095106,67.791464277073,-23014.47555999997,0,0,0,0,0,0,111268.85530592607,0,1,0,0,BTC/USDT,15m,LONG,7.0,TRENDING,-0.15687471913507584,0,SL
110862.39666499529,111068.57821023706,111298.41387469308,111095.5101334056,111095.5101334056,111058.66364003526,110974.8643696755,111068.57821023706,111079.00845295165,111058.66364003526,111095.5101334056,119.562815,111189.5535,111348.1616,6.309683177154014,-168.76036489752005,-87.43807101302508,-81.32229388449497,41.116710993654344,111188.626,-1.0,111844.23053836377,111189.5535,110534.87646163622,0.011775873141963426,0.043405782571688,110962.20999999999,111151.63,111544.755,110882.465,111815.94,111544.755,110882.465,110996.61775958311,186.79000000000087,110933.62666666666,113200.59333333332,109496.25333333333,114637.96666666666,107229.28666666667,2.296417374528278,6.091869904565442,-97.70358262547173,-142.79145415056578,0.0,-24500.346839999973,0,0,0,0,0,0,110956.0705890983,-1,0,1,0,BTC/USDT,15m,SHORT,8.0,TRENDING,-1.2316688547956223,0,SL
111185.62805767874,111117.31279990931,111258.78549044987,111089.96873901149,111089.96873901149,111119.30447570859,111143.6796638957,111117.31279990931,111080.23661354688,111119.30447570859,111089.96873901149,99.56893799999999,111007.72949999999,111152.5808,61.148960116859364,45.99945796937391,7.153386954101082,38.84607101527283,34.61859979152931,110722.44300000001,1.0,111496.09124584107,111007.72949999999,110519.3677541589,0.008798698037348618,0.8447142439669812,111186.425,110871.58,111399.38,110979.20999999999,112010.68,111399.38,110979.20999999999,111134.99281876521,208.03428571428438,110933.62666666666,113200.59333333332,109496.25333333333,114637.96666666666,107229.28666666667,90.91621520324269,65.55557374630403,-9.083784796757307,89.50928051947577,60.08383182013047,-24439.41941999997,0,0,0,0,0,0,111150.44291342376,1,1,0,1,BTC/USDT,15m,LONG,7.996804190399319,TRENDING,1.7366295009908785,1,TP
111623.76212168975,111385.61269363895,111283.01727976493,111223.1842705198,111223.1842705198,111397.30894513235,111493.242442391,111385.61269363895,111204.51460511624,111397.30894513235,111223.1842705198,148.05319,111306.69549999999,111195.12060000001,63.225319066443426,199.0714617172198,105.17231269372019,93.8991490234996,50.094098782435665,110969.37,1.0,111968.23035600228,111306.69549999999,110645.16064399769,0.011886703724885943,0.9724803948938473,111822.01000000001,111485.20999999999,111088.6125,111488.3,112104.69,111088.6125,111488.3,111627.91826775904,356.8285714285708,110933.62666666666,113200.59333333332,109496.25333333333,114637.96666666666,107229.28666666667,56.837569583681315,75.93260798271614,-43.16243041631868,251.37282782731083,77.17420689908529,-24428.923929999975,0,0,0,0,0,0,111514.77892898394,1,1,0,0,BTC/USDT,15m,LONG,8.0,TRENDING,-1.1351972270770732,0,SL
111401.64828131413,111616.0063114682,111459.63145210186,111649.64932577327,111649.64932577327,111605.68945856784,111516.08441466416,111616.0063114682,111634.15869343885,111605.68945856784,111649.64932577327,154.780028,111714.67550000001,111763.2166,34.412591471394805,-177.88695832155645,-101.78825390759667,-76.09870441395978,72.22719903565257,112002.18500000001,-1.0,112509.38979293166,111714.67550000001,110919.96120706837,0.014227571970732652,0.21520236641890186,111380.975,111760.89499999999,111876.2775,111485.20999999999,112998.92,111876.2775,111485.20999999999,111656.45687528576,303.2078571428584,110933.62666666666,113200.59333333332,109496.25333333333,114637.96666666666,107229.28666666667,15.060847221726156,18.579851805035364,-84.93915277827384,-104.7269698159222,35.989201791974324,-24301.48459999998,0,0,0,0,0,0,111496.00524099593,0,0,1,0,BTC/USDT,15m,SHORT,7.0,TRENDING,-1.1119056655499302,0,SL
113080.26682842139,112753.45584445518,111706.4512393234,112292.7091798089,112292.7091798089,112778.43985018747,112942.56928732526,112753.45584445518,112242.84176673817,112778.43985018747,112292.7091798089,144.78752000000003,112775.26600000002,112069.6952,66.16350550195767,359.199647622474,351.2844682772926,7.9151793451814,73.9559397108025,112628.366,1.0,113681.36022647948,112775.26600000002,111869.17177352056,0.016069023973385395,0.7489994896850898,113038.0,112384.0,111450.61249999999,111743.70999999999,112988.37,111450.61249999999,111743.70999999999,113040.94815430818,209.29357142857043,111410.81,112476.2,110196.62,113690.39,109131.23,79.70723699211077,79.44305461176775,-20.29276300788924,84.03908157151152,66.3729400741149,-23396.01616999998,0,0,0,0,0,0,112971.22611826214,0,1,0,0,BTC/USDT,15m,LONG,7.0,TRENDING,-1.1953373642372187,0,SL
