symbol,direction,pnl,winner,score,result,sig_adx,sig_dist_ema_atr,sig_rsi,sig_bb_percent,sig_macd_hist_slope,sig_vol_ratio,sig_atr_rank,sig_donchian_pos
BTC/USDT,SHORT,-104.90422242984067,0,7.0,SL,29.765627039654202,-2.619311378513241,30.453653624239692,-0.15172788543073307,-0.23271230777515312,2.591592016954077,0.45,0.09513639984070107
BTC/USDT,LONG,17.919710859147386,1,7.0,BREAK_EVEN,39.01925314832924,1.7534003144766002,66.29666301874383,0.7832556564342231,-0.1418001015558836,0.6288272983877233,0.09,0.685058201058206
BTC/USDT,LONG,-103.79326157819622,0,7.988595555844769,SL,38.74279434189928,3.0184108529554856,68.4705817922931,1.2058334600919867,-0.04123594922130254,3.763608408117715,0.79,0.9326336150175188
BTC/USDT,LONG,-102.65165178135312,0,7.0,SL,40.56484606147591,1.229473343829247,57.27920137653383,0.6929588898969794,0.17719328658751984,2.2039423915743517,0.99,0.5416380623309309
BTC/USDT,SHORT,-101.54944940560992,0,7.0,SL,58.13343611489852,-1.8061160824528315,20.569037579863974,0.07974932102807653,0.05112762133058017,1.725530166718689,0.51,0.0401335486354921
BTC/USDT,SHORT,-100.43014519470618,0,7.0,SL,38.771691010622746,-2.1784719672855313,32.01893156234988,0.25728328235605674,0.23743162431238782,0.6953639434258183,0.82,0.3454332507130407
BTC/USDT,LONG,-99.35227293685814,0,7.0,SL,27.171972891774505,2.3646021834325643,75.81078199511502,0.9322048984843133,0.13679834278001599,1.1229777329781208,0.91,0.8508891184947527
BTC/USDT,SHORT,195.44348176882178,1,7.0,TP,44.89721330475459,-2.603267750588652,25.588160108190166,-0.051954572879685273,-0.2727215707352772,2.6131618468830022,0.87,0.16059260130795724
BTC/USDT,SHORT,-100.19067082850441,0,8.0,SL,56.82663399325823,-2.366974655756556,41.33079911302282,0.31113194974277475,0.18011810934663647,1.684765549152303,0.7,0.18631146722186062
BTC/USDT,LONG,-99.12018307317041,0,6.0,SL,28.32061797998906,0.7279727064928047,64.07603294050867,0.7430550819058006,-0.12002021790199949,1.678492696136192,0.55,0.7024769887001492
BTC/USDT,LONG,-98.04077086297491,0,7.0,SL,31.92846623055195,1.7436562612674176,66.83260808576419,0.6756026658427883,-0.13703541966207408,0.7877966912821961,0.18,0.791459638058503
BTC/USDT,SHORT,192.89345432707447,1,8.0,TP,32.60639544233887,-1.9317167197642588,35.16489255788284,-0.09035510156479157,-0.1823237638845948,1.1143195541326205,0.99,0.026622332333637623
BTC/USDT,SHORT,-98.84567752104562,0,7.0,SL,62.02928360134313,-3.7980934063485234,33.48493695133344,0.31003435805842955,0.21770424045267675,0.41968755369623784,0.71,0.289103671063209
BTC/USDT,SHORT,193.18685503613776,1,8.0,TP,48.48809915910673,-0.6577506492441909,44.750639706989325,0.2933614698710079,0.1266865488636883,1.2750671259698445,0.39,0.33408008961075186
BTC/USDT,SHORT,197.75266734531806,1,8.0,TP,37.520843130887634,-2.3510318827061276,35.477743530929644,-0.19498493488908192,-0.1785508457704059,2.116198655711484,0.61,0.07630522088353414
BTC/USDT,SHORT,201.98202217074683,1,7.0,TP,76.17789714952325,-3.3873366040285715,38.61014301165732,0.23852683934863644,-0.013455167383102254,0.4224964825663109,0.82,0.28234225903291604
BTC/USDT,SHORT,-103.46469505172621,0,8.0,SL,83.99346929163912,-5.001895596062051,20.314651604226043,0.08871394646541386,0.015303927806157368,1.8661091839379378,0.99,0.089252074527041
BTC/USDT,SHORT,204.1138974782374,1,7.0,TP,74.36379401635686,-3.480934471694878,45.863010115270626,0.3895982063904431,0.20248508163676943,1.0254126773038899,0.94,0.367796405969107
BTC/USDT,SHORT,208.25831695081038,1,7.0,TP,66.04251187505905,-3.002781920537411,35.18603973664284,0.29423838324038065,0.031868554019209565,1.352559544555109,0.99,0.48906391296427254
BTC/USDT,SHORT,-106.4524968551641,0,8.0,SL,27.346287393185566,-3.2656798999053196,33.965417585600306,-0.013765838833602299,-0.12944545645882466,2.8517335754837583,0.92,0.13946345744014044
BTC/USDT,LONG,-105.36138069733832,0,6.0,SL,26.869838159415917,1.13254267028556,59.70040393769534,0.7025805192238526,-0.1268566859406698,0.6297293070408873,0.38,0.591353403175685
BTC/USDT,SHORT,-104.26846753187199,0,7.0,SL,33.92833851930887,-2.71207814354331,31.21240362619669,-0.20775856420145802,-0.165057099266419,3.1703874131937524,0.25,0.14577727772370022
BTC/USDT,LONG,205.17445725336273,1,7.0,TP,46.04511070730207,2.3564025034282254,63.123972259955636,0.8578535467734955,0.07243335822874152,1.0328954668767134,0.25,0.8753318077803214
